kek_id,kek_name,province,grid_region_id,kek_type,category,status,area_ha,legal_basis,developer,reliability_req,reliability_notes,latitude,longitude,business_sectors,data_vintage
industropolis-batang,Industropolis Batang,Central Java,JAVA_BALI,Industri dan Pariwisata,Manufacturing,Active,2886.87,Government Regulation (PP) Number 12 of 2025,PT Kawasan Industri Terpadu Batang,0.8,Manufacturing,-6.930301,109.9617023,Petrochemical Industry;Area Infrastructure Preparation;Import Substitution;Logistics;Electronic Industry;Automotive Industry;Tourism;Food & Beverage Industry;Wood Processing Industry;Furniture & Toys Industry;Textile & Clothing Industry;Development and Management;Healthcare;Medical Device Industry,2026-04-18
batam-tourism-and-international-healthcare,Batam Tourism and International Healthcare,Riau Islands,SUMATERA,Jasa lainnya,Service,Active,47.17,Government Regulation (PP) Number 39 of 2024,PT Karunia Praja Pesona,0.6,Service/Healthcare,1.1377283591127,103.92457856774,Healthcare;Development and Management;Tourism,2026-04-18
bumi-serpong-damai,"Banten International Education, Technology, and Health",Banten,JAVA_BALI,Jasa lainnya,Service,Active,59.68,Government Regulation No. 38 of 2024,PT Surya Inter Wisesa,0.6,Service/Education,-6.308799293523,106.65753024663,Development and Management;Healthcare;Digital Technology Industry;Education,2026-04-18
setangga,Setangga,South Kalimantan,KALIMANTAN,,Manufacturing,Active,,Government Regulation Number 26 of 2024,PT Dua Samudera Perkasa,0.8,Manufacturing,-3.2813775344249,116.07748257442,Development and Management;Base Metal Industry;Logistics;Palm Oil Processing Industry;Area Infrastructure Preparation,2026-04-18
tanjung-sauh,Tanjung Sauh,Riau Islands,SUMATERA,,Manufacturing,Active,,Government Regulation Number 24 of 2024,PT BATAMRAYA SUKSES PERKASA,0.8,Manufacturing,1.0429294494269,104.17274106649,Textile & Clothing Industry;Development and Management;Electronic Industry;Logistics;Area Infrastructure Preparation;Ship and Boat Building Industry,2026-04-18
kek-arun-lhokseumawe,Arun Lhokseumawe,Aceh,SUMATERA,Industri,Manufacturing,Active,2622.48,Government Regulation Number 5 of 2017,PT Patriot Nusantara Aceh,0.8,Manufacturing,5.2199197298726,97.080259039528,Palm Oil Processing Industry;Petrochemical Industry;Logistics;Development and Management;Area Infrastructure Preparation;Wood Processing Industry;Energy,2026-04-18
kek-sanur,Sanur,Bali,JAVA_BALI,Pariwisata,Service,Active,41.2599625886,Government Regulation Number 41 of 2022,PT Hotel Indonesia Natour,0.4,Service/Tourism,-8.6942352931407,115.26295962249,Tourism;Healthcare;Area Infrastructure Preparation;Development and Management,2026-04-18
kek-kendal,Kendal,Central Java,JAVA_BALI,Industri,Manufacturing,Active,1000.0,PP no 85 2019,PT Kawasan Industri Kendal,0.8,Manufacturing,-6.9355648813555,110.24833446931,Automotive Industry;Logistics;Electronic Industry;Food & Beverage Industry;Development and Management;Textile & Clothing Industry;Area Infrastructure Preparation;Food & Beverage Industry;Automotive Industry,2026-04-18
kek-sorong,Sorong,West Papua,PAPUA,Industri,Manufacturing,Active,523.7,Government Regulation Number 31 of 2016,PT Malamoi Olom Wobok,0.8,Manufacturing,-1.0292733746334,131.24345068184,Palm Oil Processing Industry;Logistics;Forestry (Sago) Industry;Nickel Smelter Industry;Development and Management;Area Infrastructure Preparation,2026-04-18
kek-singhasari,Singhasari,East Java,JAVA_BALI,Pariwisata,Service,Active,120.3,PP 68 Tahun 2019,PT Intelegensia Grahatama,0.6,Service/Digital,-7.5151962757576,112.7434025685,Development and Management;Digital Technology Industry;Tourism;Area Infrastructure Preparation,2026-04-18
kek-morotai,Morotai,North Maluku,MALUKU,Pariwisata,Service,Active,1101.76,Government Regulation no. 50 of 2014,Jababeka Group,0.6,Service/Tourism,2.3750901219475,128.41811690865,Fishing Industry;Logistics;Tourism;Development and Management;Area Infrastructure Preparation,2026-04-18
kek-gresik,Gresik,East Java,JAVA_BALI,Industri,Manufacturing,Active,2167.0,Peraturan Pemerintah nomor 71 tahun 2021,PT Berkah Kawasan Manyar Sejahtera,0.8,Manufacturing,-7.0854668845705,112.60680989557,Petrochemical Industry;Base Metal Industry;Electronic Industry;Digital Technology Industry;Energy;Logistics;Development and Management;Area Infrastructure Preparation;Import Substitution,2026-04-18
kek-likupang,Likupang,North Sulawesi,SULAWESI,Pariwisata,Service,Active,197.4,PP 84 tahun 2019,PT Minahasa Permai Resort Development,0.4,Service/Tourism,1.680721711081,125.15739596932,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-18
kek-bitung,Bitung,North Sulawesi,SULAWESI,Industri,Manufacturing,Active,534.0,Government Regulation Number 32 of 2014,PT Membangun Sulut Hebat (MSH),0.8,Manufacturing,1.4243289186209,125.10987982233,Logistics;Fishing Industry;Area Infrastructure Preparation;Coconut Processing Industry;Development and Management,2026-04-18
kek-palu,Palu,Central Sulawesi,SULAWESI,Industri,Manufacturing,Active,1500.0,Government Regulation Number 31 of 2014,PT Bangun Palu Sulawesi Tengah,0.8,Manufacturing,-0.71188721731303,119.8703393558,Logistics;Development and Management;Base Metal Industry;Area Infrastructure Preparation,2026-04-18
kek-kura-kura,Kura Kura Bali,Bali,JAVA_BALI,Pariwisata,Service,Active,498.0,PP No 23 Tahun 2023,PT Bali Turtle Island Development,0.4,Service/Tourism,-8.7312613066451,115.23086607725,Area Infrastructure Preparation;Tourism;Creative Industries;Development and Management,2026-04-18
kek-galang-batang,Galang Batang,Riau Islands,SUMATERA,Industri,Processing,Active,2333.6,PP 42 tahun 2017,PT GBKEK Industri Pengolahan,0.85,Processing/Industrial,0.91112087616108,104.65970479459,Bauxite Industry;Area Infrastructure Preparation;Logistics;Development and Management,2026-04-18
kek-maloy-batuta,Maloy Batuta Trans Kalimantan,East Kalimantan,KALIMANTAN,Industri,Manufacturing,Active,557.34,PP No 85 Tahun 2014,PT Maloy Batuta Trans Kalimantan,0.8,Manufacturing,0.81659915671314,117.93022440699,Energy;Area Infrastructure Preparation;Logistics;Palm Oil Processing Industry;Wood Processing Industry;Development and Management,2026-04-18
kek-nongsa,Nongsa,Riau Islands,SUMATERA,Pariwisata,Service,Active,166.45,PP no 68 Tahun 2021,PT Taman Resor Internet,0.6,Service/Digital,1.191175886339,104.09214803974,"Education;Digital Technology Industry;Development and Management;Tourism;Area Infrastructure Preparation;Creative Industries;Research, Digital Economy, and Technology Development",2026-04-18
kek-mandalika,Mandalika,West Nusa Tenggara,NTB,Pariwisata,Service,Active,1035.67,PP No 52 Tahun 2014,PT Pengembangan Pariwisata Indonesia,0.4,Service/Tourism,-8.8963124944653,116.29090641579,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-18
kek-batam-aero-technic,Batam Aero Technic,Riau Islands,SUMATERA,Industri,Manufacturing,Active,30.0,PP No 67 tahun 2021,PT Batam Teknik (BAT),0.8,Manufacturing/Aviation,1.1393365211312,104.12432224421,MRO Industry;Logistics;Area Infrastructure Preparation;Education;Development and Management,2026-04-18
kek-tanjung-kelayang,Tanjung Kelayang,Bangka Belitung Islands,SUMATERA,Pariwisata,Service,Active,324.4,PP No 6 Tahun 2016,Badan Usaha Pembangun dan Pengelola (BUPP) KEK Tanjung Kelayang,0.4,Service/Tourism,-2.5711927695212,107.65499155301,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-18
kek-lido,Lido,West Java,JAVA_BALI,Pariwisata,Service,Active,1040.0,PP no 69 tahun 2021,PT MNCLand Lido,0.4,Service/Tourism,-6.7536528309529,106.81210085326,Tourism;Development and Management;Area Infrastructure Preparation;Creative Industries,2026-04-18
kek-tanjung-lesung,Tanjung Lesung,Banten,JAVA_BALI,Pariwisata,Service,Active,1500.0,KEK Tanjung Lesung,PT Banten West Java Tourism Development,0.4,Service/Tourism,-6.4817887185833,105.65248380886,Development and Management;Area Infrastructure Preparation;Tourism,2026-04-18
kek-sei-mangkei,Sei Mangkei,North Sumatra,SUMATERA,Industri,Processing,Active,2002.77,PP No 29 Tahun 2012,PT. Perkebunan Nusantara III,0.85,Processing,3.1324879221829,99.340577853012,Logistics;Tourism;Palm Oil Processing Industry;Rubber Industry;Development and Management;Area Infrastructure Preparation,2026-04-18
